time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000298,0.001218,2,0.371795,0.83717
0.000326,0.001068,2,0.371795,0.83717
0.000287,0.000903,2,0.371795,0.83717
0.000284,0.00159,3,0.358892,0.434726
0.0003,0.00077,2,0.132807,0.225967
0.000297,0.000662,3,0.402038,0.699488
0.000291,0.000797,3,0.402038,0.699488
0.000376,0.000948,1,0,0
0.000327,0.000691,2,0.359961,0.836498
0.0003,0.000787,2,0.359961,0.836498
0.000286,0.001222,3,0.402038,0.699488
0.000284,0.001612,2,0.371795,0.83717
0.000337,0.000948,3,0.374425,0.694858
0.000311,0.000787,3,0.39908,0.825518
0.000287,0.000792,3,0.374425,0.694858
0.000331,0.001159,2,0.303665,0.465844
0.000326,0.000755,3,0.402038,0.699488
0.00034,0.00116,2,0.359961,0.836498
0.000329,0.001824,3,0.402038,0.699488
0.000328,0.001202,3,0.374425,0.694858
0.000495,0.000969,3,0.374425,0.694858
0.000356,0.000884,2,0.371795,0.83717
0.00034,0.001313,3,0.374425,0.694858
0.00034,0.000831,2,0.371466,1
0.000325,0.000835,3,0.374425,0.694858
0.000324,0.00101,2,0.359961,0.836498
0.000374,0.001202,3,0.39908,0.825518
0.000332,0.001446,2,0.371466,1
0.00036,0.001167,2,0.371795,0.83717
0.000378,0.00088,3,0.374425,0.694858
0.000341,0.001736,3,0.374425,0.694858
0.000329,0.000869,1,0,0
0.00034,0.001221,2,0.371466,1
0.000333,0.001145,2,0.371795,0.83717
0.000325,0.00117,2,0.371795,0.83717
0.000324,0.00178,2,0.371795,0.83717
0.000338,0.000709,4,0.399326,0.537952
0.00033,0.001363,2,0.359961,0.836498
0.000332,0.000838,2,0.359961,0.836498
0.00038,0.001767,2,0.371795,0.83717
0.000326,0.001032,2,0.371795,0.83717
0.000329,0.001471,3,0.39908,0.825518
0.000364,0.000858,2,0.132807,0.225967
0.000335,0.000817,1,0,0
0.000157,0.000324,2,0.371466,1
0.000183,0.000747,3,0.374425,0.694858
0.000197,0.000507,2,0.132807,0.225967
0.000155,0.000341,3,0.39908,0.825518
0.000149,0.000285,2,0.132807,0.225967
