time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000428,0.002272,6,0.373838,0.481163
0.000519,0.003288,5,0.397018,0.464754
0.000416,0.002113,6,0.430106,0.41553
0.000421,0.001782,4,0.289724,0.230289
0.000416,0.002324,5,0.394802,0.490331
0.000421,0.002194,6,0.438689,0.415581
0.000436,0.002299,6,0.445572,0.411134
0.000419,0.001348,6,0.42884,0.421781
0.000457,0.002103,5,0.390214,0.446661
0.000427,0.002611,7,0.433863,0.431168
0.000431,0.00191,6,0.454452,0.41009
0.000431,0.003161,7,0.424924,0.385474
0.00041,0.003468,5,0.40121,0.485183
0.000396,0.001739,6,0.379059,0.452989
0.000389,0.005781,5,0.438254,0.464306
0.000371,0.003732,6,0.43505,0.417265
0.000373,0.002631,6,0.443119,0.371768
0.000415,0.002641,5,0.443317,0.418446
0.000412,0.002734,7,0.439994,0.406977
0.000424,0.003117,6,0.449092,0.434315
0.000472,0.004982,6,0.436118,0.439184
0.000428,0.003526,7,0.442249,0.404161
0.000429,0.002867,6,0.440469,0.394421
0.000415,0.00197,7,0.41992,0.40587
0.000417,0.002663,6,0.448835,0.41009
0.000429,0.002561,6,0.44662,0.433032
0.000423,0.001908,6,0.33901,0.190439
0.0002,0.000632,6,0.434219,0.33362
0.000228,0.001041,7,0.424924,0.385474
0.000202,0.00195,5,0.443317,0.418446
0.000416,0.004185,6,0.441221,0.446501
0.000408,0.003711,7,0.437621,0.404161
0.00039,0.003438,6,0.422155,0.362828
0.000397,0.00241,6,0.448835,0.41009
0.000381,0.001597,5,0.391242,0.514407
0.000392,0.001824,7,0.422115,0.407921
0.000453,0.003186,6,0.441596,0.430561
0.000429,0.004079,6,0.432321,0.441131
0.000433,0.002116,6,0.397769,0.500603
0.000428,0.002715,6,0.38171,0.281134
0.000428,0.00302,7,0.45014,0.405895
0.000433,0.002919,7,0.44662,0.423484
0.000451,0.003304,6,0.436078,0.378391
0.000413,0.003609,4,0.408014,0.459682
0.000428,0.002186,5,0.442051,0.462104
0.000426,0.003482,6,0.446719,0.392761
0.000432,0.001501,6,0.396226,0.500603
0.000452,0.002613,7,0.437621,0.404161
0.000413,0.002488,4,0.423895,0.496781
0.000429,0.002461,7,0.428563,0.383974
0.000436,0.003041,5,0.397018,0.464754
0.000285,0.003181,4,0.427178,0.437753
6.2e-05,0.000624,6,0.442051,0.439184
6.2e-05,0.000884,7,0.438452,0.424701
6e-05,0.000825,6,0.432103,0.432602
6.2e-05,0.003984,6,0.448835,0.41009
6.2e-05,0.000364,7,0.424924,0.385474
6e-05,0.000935,7,0.427614,0.431168
6.1e-05,0.000246,7,0.422729,0.38214
6.1e-05,0.000407,7,0.440944,0.402752
6.1e-05,0.001988,6,0.427614,0.376882
6e-05,0.000289,6,0.444306,0.415581
6e-05,0.000692,7,0.424924,0.385474
6.1e-05,0.000576,7,0.441913,0.423484
6.2e-05,0.00082,5,0.40216,0.514727
5.9e-05,0.001232,6,0.439678,0.436054
6.6e-05,0.000576,6,0.441596,0.430561
6.2e-05,0.0003,6,0.373838,0.481163
6.1e-05,0.002396,8,0.41992,0.415216
7.8e-05,0.002475,7,0.422115,0.407921
6.1e-05,0.000387,7,0.427614,0.431168
6.1e-05,0.002035,5,0.417962,0.471201
7.1e-05,0.003624,7,0.422115,0.407921
6.1e-05,0.000313,7,0.422115,0.407921
6.2e-05,0.00094,7,0.422115,0.407921
0.000184,0.000898,5,0.396226,0.514727
6.5e-05,0.000919,7,0.424924,0.385474
0.000137,0.001678,7,0.438452,0.424701
6.7e-05,0.003369,7,0.441913,0.423484
6.2e-05,0.000655,7,0.441913,0.423484
7e-05,0.000373,6,0.373838,0.481163
7e-05,0.003049,6,0.444603,0.371405
0.000185,0.001729,7,0.424924,0.385474
7.1e-05,0.00186,7,0.432162,0.406185
7e-05,0.00137,4,0.444187,0.460056
6.6e-05,0.001931,7,0.440944,0.402752
7.2e-05,0.003024,5,0.390214,0.446661
6.6e-05,0.0015,7,0.440944,0.402752
7.1e-05,0.000543,6,0.431094,0.436595
6.3e-05,0.000336,6,0.384043,0.509171
6.4e-05,0.000403,5,0.402081,0.436363
6.2e-05,0.001485,6,0.452553,0.433032
6.2e-05,0.000798,6,0.433863,0.451902
8.2e-05,0.000711,6,0.448835,0.41009
6.4e-05,0.001914,6,0.44662,0.433032
6.3e-05,0.000319,8,0.425913,0.419957
6.5e-05,0.00521,7,0.432103,0.43998
6.2e-05,0.001252,7,0.435782,0.404036
0.000181,0.00227,7,0.427614,0.431168
6.5e-05,0.002382,7,0.444603,0.358071
6.7e-05,0.000715,6,0.443159,0.434315
7.3e-05,0.005006,6,0.432162,0.424931
7.2e-05,0.000612,6,0.443119,0.371768
6.1e-05,0.001992,7,0.424924,0.385474
6.3e-05,0.000401,7,0.422115,0.407921
5.8e-05,0.000863,6,0.452553,0.430561
6.3e-05,0.005564,7,0.425913,0.406185
6.2e-05,0.000401,5,0.382204,0.515526
6.5e-05,0.001043,6,0.454452,0.408481
6.5e-05,0.000258,5,0.40121,0.485183
6.9e-05,0.00078,6,0.442249,0.412617
6.4e-05,0.001218,6,0.441221,0.446501
6.2e-05,0.000704,6,0.436118,0.439184
6.2e-05,0.000242,7,0.434971,0.426352
6.2e-05,0.006102,7,0.444781,0.438065
6.5e-05,0.003123,6,0.448835,0.41009
6.2e-05,0.000164,6,0.344745,0.218144
6.3e-05,0.000918,7,0.425913,0.406185
