time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000118,0.000633,12,0.602366,0.275914
0.000129,0.000823,11,0.599013,0.257113
0.000122,0.000734,10,0.604088,0.227257
0.000143,0.000499,10,0.604508,0.244066
0.000121,0.000653,11,0.603731,0.258074
0.000122,0.001273,12,0.584933,0.277678
0.000124,0.000512,14,0.558157,0.300844
0.000127,0.001683,11,0.54901,0.258324
0.00073,0.00427,8,0.555712,0.175441
0.00015,0.000984,12,0.58082,0.27755
0.00013,0.000522,12,0.581784,0.258629
0.000124,0.000776,10,0.60164,0.231892
0.000308,0.001464,10,0.605927,0.243344
0.000127,0.00141,12,0.584811,0.27724
0.000123,0.00061,9,0.602071,0.222123
0.000129,0.000892,12,0.58082,0.27755
0.000138,0.000515,11,0.604562,0.261727
0.000126,0.000671,11,0.57835,0.263046
0.000149,0.000672,11,0.578237,0.260882
0.000123,0.00053,12,0.583436,0.268548
0.000125,0.001808,10,0.602196,0.248557
0.00016,0.0018,10,0.602196,0.248557
0.000125,0.000626,9,0.596187,0.221063
0.000128,0.000513,11,0.604421,0.256019
0.000133,0.000785,11,0.604338,0.26943
0.000125,0.000649,11,0.579771,0.266828
0.000122,0.000809,10,0.604508,0.244066
0.000126,0.000623,10,0.604591,0.230401
0.000124,0.0011,11,0.604338,0.26943
0.000125,0.00052,10,0.597222,0.243915
0.000123,0.000621,9,0.602366,0.222153
0.00013,0.000627,9,0.604681,0.231031
0.000123,0.00052,12,0.575043,0.282509
0.000126,0.000765,11,0.583839,0.238476
0.000128,0.000734,10,0.599319,0.229936
0.000126,0.000626,10,0.598132,0.246455
0.000309,0.000502,12,0.602366,0.275914
0.00013,0.000638,10,0.597853,0.23529
0.000126,0.000844,11,0.582665,0.266362
0.000129,0.000661,12,0.56005,0.25462
0.000124,0.001348,9,0.574517,0.213479
0.000129,0.000502,10,0.597294,0.21879
0.000128,0.002884,11,0.580193,0.256408
0.000174,0.000685,8,0.604519,0.191023
0.000132,0.000893,9,0.55382,0.209773
0.000134,0.001066,11,0.58279,0.257343
0.000125,0.001318,9,0.588918,0.21191
0.000124,0.0005,11,0.596714,0.256176
0.000123,0.000638,10,0.594228,0.23169
0.000122,0.000635,13,0.582347,0.291816
0.000119,0.000525,12,0.578794,0.26719
0.000127,0.000639,11,0.585103,0.252944
0.000122,0.000515,11,0.602033,0.247949
0.000121,0.000505,11,0.5818,0.270096
0.00012,0.001123,10,0.571299,0.237635
0.000123,0.001768,12,0.579597,0.279367
0.000118,0.000622,10,0.605703,0.251177
0.000121,0.00072,10,0.602071,0.257654
0.000137,0.000616,12,0.559929,0.255289
0.000317,0.001252,13,0.58207,0.285892
0.000116,0.000482,10,0.583909,0.247349
0.000116,0.000712,10,0.593927,0.245329
0.000117,0.000621,11,0.604562,0.261727
0.00012,0.0006,10,0.598686,0.24922
0.000206,0.001213,11,0.580746,0.263816
0.000119,0.000735,10,0.599298,0.258643
0.000138,0.001079,12,0.58082,0.27755
0.00013,0.001006,11,0.582935,0.258481
0.000121,0.00062,10,0.605703,0.251177
0.000121,0.000486,9,0.555776,0.212852
0.000128,0.001356,10,0.602334,0.241743
0.000121,0.000482,9,0.605623,0.199067
0.000129,0.000746,11,0.604562,0.261727
0.00012,0.000511,11,0.5846,0.249775
0.000118,0.000786,10,0.602071,0.257654
0.000121,0.00088,12,0.577292,0.27077
0.000121,0.000603,9,0.594066,0.224525
0.000119,0.001547,12,0.602366,0.275914
0.000117,0.001082,10,0.568272,0.233884
0.00012,0.000836,10,0.578096,0.241307
0.000121,0.000488,11,0.60442,0.256019
0.000122,0.000902,12,0.561193,0.286216
0.00012,0.000491,13,0.582117,0.285892
0.000118,0.000714,9,0.592634,0.212428
0.000173,0.000633,12,0.573381,0.261376
0.000122,0.000901,13,0.56119,0.293004
0.00012,0.000852,10,0.580633,0.217992
0.000122,0.000766,13,0.582468,0.292242
0.000121,0.001039,13,0.561069,0.292577
0.00012,0.00048,9,0.592884,0.247688
0.00012,0.000594,8,0.589523,0.21093
0.00012,0.000857,10,0.591554,0.228825
0.000136,0.000526,11,0.577239,0.253648
0.000121,0.000508,12,0.584932,0.277678
0.000304,0.000872,10,0.601656,0.240343
0.00013,0.000498,11,0.573038,0.24732
0.000121,0.000763,12,0.584811,0.27724
0.00027,0.000877,11,0.58459,0.253721
0.000121,0.00253,12,0.583436,0.268548
0.00012,0.000623,12,0.578623,0.26719
0.000119,0.000602,9,0.587181,0.218292
0.000226,0.000876,11,0.578106,0.244969
0.000121,0.000708,8,0.592743,0.207342
0.000121,0.000757,12,0.560541,0.264086
0.000123,0.000644,12,0.602366,0.275914
0.00012,0.001403,10,0.594569,0.21499
0.000119,0.00137,11,0.576608,0.254529
0.000119,0.001221,12,0.580507,0.271898
0.000724,0.003396,11,0.604338,0.26943
0.000125,0.000771,11,0.586298,0.259886
0.000127,0.000623,12,0.58082,0.27755
0.000121,0.00077,10,0.586135,0.222675
0.00012,0.000628,10,0.604088,0.227257
0.000125,0.001844,10,0.604229,0.233025
0.000124,0.000618,11,0.580766,0.260513
0.000123,0.002094,13,0.582468,0.292242
0.00012,0.00099,9,0.593254,0.221204
0.00012,0.000624,10,0.534714,0.244118
0.000124,0.000766,11,0.604562,0.261727
0.000124,0.000625,10,0.604732,0.236194
0.000125,0.000624,11,0.577546,0.264208
0.000121,0.000501,12,0.602366,0.275914
0.000123,0.000896,11,0.604338,0.26943
0.000126,0.001051,12,0.556774,0.279501
0.000123,0.000649,12,0.579803,0.267416
0.000123,0.000494,9,0.592254,0.210037
0.000123,0.000638,11,0.579892,0.267278
0.000124,0.00067,13,0.556085,0.300727
0.000123,0.000609,9,0.59508,0.221801
0.000124,0.000856,9,0.602241,0.231203
0.000127,0.002085,11,0.586298,0.259886
0.000124,0.001014,12,0.584811,0.27724
0.000153,0.002089,10,0.569108,0.254154
0.000346,0.002062,11,0.57822,0.261191
0.000122,0.000612,8,0.604519,0.191023
0.000123,0.000619,11,0.604562,0.261727
0.000121,0.000511,11,0.599846,0.269028
0.00013,0.000501,10,0.594228,0.23169
0.000123,0.000512,13,0.578624,0.291282
0.000129,0.000761,12,0.583594,0.2647
0.000123,0.00075,10,0.604229,0.233025
0.000123,0.00075,11,0.604562,0.261727
0.000124,0.000671,11,0.604421,0.256019
0.000301,0.001504,10,0.584583,0.215795
0.000124,0.000505,11,0.604562,0.261727
0.000125,0.00089,11,0.604338,0.26943
0.000129,0.000512,12,0.602366,0.275914
0.000126,0.000523,9,0.553666,0.223353
0.000124,0.001222,9,0.585731,0.195762
0.00013,0.000771,11,0.581679,0.269649
0.000122,0.000736,10,0.602334,0.241743
0.000122,0.000498,10,0.596136,0.251099
0.000123,0.000995,11,0.604562,0.261727
0.000118,0.000496,13,0.578452,0.291282
0.000117,0.000483,12,0.602366,0.275914
0.000122,0.000626,11,0.5846,0.249775
0.000119,0.000634,13,0.58207,0.285892
0.000122,0.000648,12,0.582126,0.269048
0.000717,0.003541,12,0.602366,0.275914
0.000118,0.000653,12,0.584811,0.27724
0.00012,0.000881,9,0.557352,0.204693
0.000119,0.002115,12,0.582774,0.268993
0.000122,0.001814,11,0.604562,0.261727
0.000126,0.001593,10,0.598686,0.247335
0.00012,0.000495,11,0.603731,0.258074
0.000121,0.001108,10,0.604229,0.233025
0.00012,0.001207,10,0.602334,0.241743
0.00012,0.000624,10,0.601962,0.24473
0.000126,0.002241,13,0.582347,0.291816
0.000118,0.000501,11,0.604338,0.26943
0.000121,0.000613,10,0.605786,0.237569
0.000128,0.000501,11,0.602033,0.247949
0.000205,0.000675,10,0.599513,0.240248
0.00012,0.000642,12,0.584933,0.277677
0.000122,0.001234,12,0.602366,0.275914
0.000119,0.0005,12,0.602366,0.275914
0.000123,0.000495,11,0.604421,0.256019
0.000122,0.00064,11,0.604562,0.261727
0.000122,0.000763,10,0.586014,0.222202
0.000123,0.000509,11,0.603731,0.258074
0.000124,0.000491,9,0.597443,0.209213
0.000147,0.00094,10,0.604005,0.24087
0.000146,0.000874,10,0.602185,0.236846
0.000124,0.001269,10,0.604229,0.233025
0.000123,0.000632,11,0.604562,0.261727
0.00012,0.00118,13,0.55968,0.280183
0.000157,0.00054,10,0.597717,0.234259
0.000151,0.000723,9,0.605764,0.20495
0.000143,0.000982,11,0.584982,0.25249
0.000119,0.000606,9,0.591067,0.243102
0.000129,0.000613,9,0.598326,0.186626
0.000137,0.000791,9,0.595814,0.235855
0.000126,0.000505,11,0.583642,0.242822
0.000123,0.000873,10,0.582605,0.227248
0.000122,0.001031,12,0.58082,0.27755
0.000121,0.000512,12,0.602366,0.275914
0.000123,0.000756,12,0.584933,0.277677
0.00012,0.000509,11,0.60442,0.256019
0.000122,0.000738,10,0.590957,0.2353
0.000122,0.000617,10,0.599319,0.229936
0.000125,0.000583,9,0.599375,0.224221
0.000118,0.00061,11,0.604338,0.26943
0.00012,0.001019,10,0.598829,0.229798
0.000332,0.001476,11,0.604338,0.26943
0.000119,0.000625,13,0.578452,0.291281
0.000124,0.000745,11,0.603731,0.258074
0.000136,0.000555,11,0.59393,0.254296
0.00012,0.000495,13,0.578624,0.291282
0.000141,0.002053,12,0.57974,0.262435
0.000215,0.000883,12,0.602366,0.275914
0.000119,0.000499,12,0.583594,0.2647
0.000123,0.000874,11,0.604562,0.261727
0.000123,0.001008,11,0.604338,0.26943
0.000122,0.000511,12,0.602366,0.275914
0.000123,0.000502,11,0.602033,0.247949
0.000121,0.000637,10,0.591939,0.237021
0.000123,0.000937,11,0.584139,0.251064
0.000123,0.00075,11,0.5846,0.249776
0.000121,0.000505,13,0.58207,0.285892
0.000349,0.000524,11,0.602536,0.251115
0.00012,0.001731,12,0.583594,0.2647
0.000123,0.000632,11,0.58459,0.253721
0.000125,0.000504,11,0.574346,0.259512
0.000122,0.000624,9,0.5781,0.225169
0.000121,0.000527,10,0.585273,0.238313
0.000125,0.000765,10,0.604005,0.24087
0.000248,0.001844,13,0.582117,0.285892
0.000203,0.000732,10,0.603569,0.220768
0.000124,0.000517,10,0.596381,0.227219
0.000347,0.001042,11,0.60442,0.256019
0.000129,0.000625,10,0.603316,0.250191
0.000125,0.000874,10,0.573728,0.230234
0.000345,0.002122,11,0.604338,0.26943
0.000121,0.000633,10,0.597853,0.23529
0.000384,0.001465,8,0.57344,0.221915
0.000354,0.0018,12,0.581849,0.262979
0.000119,0.000742,9,0.592577,0.23308
0.000121,0.000639,11,0.604562,0.261727
0.000122,0.000982,9,0.605764,0.20495
0.000119,0.000488,12,0.602366,0.275914
0.000118,0.000979,10,0.602685,0.242316
0.00012,0.00063,11,0.604562,0.261727
0.000119,0.00062,7,0.579744,0.167178
0.000118,0.001173,12,0.584811,0.27724
0.000124,0.000621,10,0.596126,0.23928
0.000195,0.001244,10,0.601429,0.253718
0.00012,0.000854,10,0.55905,0.261074
0.000119,0.002161,9,0.594747,0.239318
0.000131,0.001429,12,0.602366,0.275914
0.000121,0.000624,11,0.582669,0.256891
0.00012,0.000606,11,0.582291,0.270391
0.000124,0.000507,12,0.570188,0.270479
0.00012,0.000613,9,0.59131,0.227619
0.000124,0.000897,10,0.604229,0.233025
0.000123,0.000773,12,0.580507,0.271898
0.000121,0.000504,11,0.597123,0.245082
0.000123,0.000782,10,0.595865,0.249919
0.000121,0.000523,12,0.602366,0.275914
0.000729,0.004636,12,0.559757,0.262721
0.000158,0.000858,11,0.602536,0.251115
0.000125,0.001436,13,0.558101,0.280208
0.00012,0.000488,12,0.602366,0.275914
0.000123,0.000624,10,0.598566,0.23776
0.000124,0.001009,10,0.604005,0.24087
0.00012,0.000888,12,0.562435,0.275296
0.000121,0.00051,12,0.602366,0.275914
0.000121,0.000756,10,0.57138,0.264657
0.000135,0.00075,10,0.584674,0.212421
0.000124,0.00053,13,0.578624,0.291282
0.000118,0.000731,10,0.604229,0.233025
0.000119,0.000495,12,0.577292,0.27077
0.000311,0.001354,10,0.575014,0.237388
0.000319,0.000871,11,0.59999,0.251778
0.000139,0.00051,13,0.582117,0.285892
0.000127,0.000509,12,0.602366,0.275914
0.000151,0.00051,12,0.602366,0.275914
0.000129,0.000751,11,0.602536,0.251115
0.00013,0.000633,12,0.580596,0.285142
0.00013,0.001074,10,0.57887,0.244137
0.000127,0.000755,10,0.602462,0.250176
0.000127,0.00161,10,0.601818,0.26227
0.00013,0.000851,9,0.602355,0.210098
0.000126,0.000484,11,0.599846,0.269028
0.000132,0.000506,11,0.597123,0.245082
0.000128,0.000616,10,0.601655,0.240343
0.000131,0.000753,11,0.583904,0.242825
0.000132,0.000627,11,0.604562,0.261727
0.000133,0.000741,11,0.604338,0.26943
0.000129,0.000864,11,0.580746,0.263816
0.000437,0.001488,12,0.602366,0.275914
0.000139,0.000493,11,0.604562,0.261727
0.000128,0.000613,10,0.601962,0.24473
0.000301,0.001058,11,0.579771,0.266828
0.000122,0.001284,10,0.593927,0.245329
0.000122,0.000742,9,0.605541,0.213015
0.000122,0.00073,10,0.605927,0.243344
0.000124,0.000495,12,0.602366,0.275914
0.000118,0.000618,11,0.604338,0.26943
0.000122,0.001023,13,0.582347,0.291816
0.000125,0.000524,10,0.59442,0.247368
0.00012,0.000488,11,0.602033,0.247949
0.000123,0.000515,13,0.582468,0.292242
0.000134,0.000613,8,0.600522,0.169689
0.000133,0.000526,12,0.58119,0.276088
0.000397,0.001771,9,0.583892,0.215396
0.000124,0.000595,7,0.578644,0.163339
0.00013,0.000647,11,0.604338,0.26943
0.00013,0.000758,10,0.603316,0.250191
0.000696,0.003809,11,0.603731,0.258074
0.000118,0.000611,10,0.57783,0.243189
0.000119,0.001155,12,0.582136,0.265122
0.000118,0.000888,11,0.577848,0.25168
0.000127,0.001116,11,0.582669,0.257408
0.000124,0.000642,11,0.5793,0.264433
0.000121,0.000591,9,0.605764,0.20495
0.000122,0.000538,11,0.599846,0.269028
0.000121,0.000908,9,0.588415,0.208721
0.000123,0.000737,9,0.597142,0.227659
0.00012,0.000623,10,0.586135,0.222675
0.000123,0.000807,12,0.584811,0.27724
0.000124,0.001495,10,0.579441,0.26021
0.000122,0.000849,10,0.604508,0.244066
0.00012,0.000634,11,0.590368,0.229589
0.000124,0.001104,9,0.591158,0.215292
0.000121,0.000797,11,0.604562,0.261727
0.000123,0.001227,10,0.601962,0.24473
0.000123,0.001357,10,0.586014,0.222202
0.000126,0.000499,11,0.604421,0.256019
0.000126,0.000667,11,0.602536,0.251115
0.000123,0.000772,11,0.571923,0.25787
0.000122,0.000631,12,0.573726,0.284234
0.000128,0.000814,11,0.582665,0.266362
