time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000599,0.002077,3,0.451923,0.525951
0.00064,0.002809,4,0.485703,0.605318
0.000657,0.001945,3,0.50056,0.574466
0.000666,0.002175,3,0.50056,0.574466
0.000652,0.00259,4,0.489932,0.593512
0.00067,0.002845,3,0.492241,0.541566
0.000653,0.002278,3,0.496576,0.586089
0.000661,0.002948,3,0.50056,0.574466
0.000653,0.003048,3,0.50056,0.574466
0.000587,0.003266,3,0.496576,0.586089
0.000644,0.002543,3,0.50056,0.574466
0.000643,0.002058,3,0.50056,0.574466
0.000661,0.002151,3,0.496576,0.586089
0.000685,0.003134,4,0.492236,0.531205
0.000663,0.001984,3,0.490454,0.488857
0.000646,0.001989,3,0.496576,0.586089
0.000659,0.002607,4,0.492236,0.531205
0.000645,0.002481,4,0.495563,0.567952
0.000678,0.002857,3,0.490454,0.488857
0.000661,0.00215,3,0.50056,0.574466
0.000705,0.002304,5,0.496825,0.566767
0.000651,0.002272,3,0.496576,0.586089
0.000662,0.002659,3,0.496576,0.586089
0.000648,0.002077,2,0.45689,0.597922
0.000647,0.002176,4,0.500334,0.541301
0.000651,0.001889,3,0.50056,0.574466
0.000655,0.002331,3,0.496576,0.586089
0.000692,0.002119,5,0.506543,0.505415
0.000683,0.005693,2,0.456849,0.568681
0.000726,0.005921,2,0.45689,0.597922
0.000656,0.002617,3,0.492241,0.541566
0.000643,0.002359,3,0.496576,0.586089
0.000688,0.002444,4,0.49141,0.5793
0.000659,0.002282,3,0.496576,0.586089
0.000702,0.002174,3,0.496576,0.586089
0.000686,0.00322,4,0.494264,0.510888
0.000651,0.004042,3,0.496576,0.586089
0.000656,0.002454,3,0.496576,0.586089
0.000659,0.002481,3,0.496576,0.586089
0.000306,0.003963,3,0.50056,0.574466
0.000309,0.002915,3,0.490475,0.513872
0.000316,0.002195,3,0.496576,0.586089
0.000307,0.002089,3,0.50056,0.574466
0.000359,0.002226,3,0.50056,0.574466
0.000345,0.00371,2,0.456849,0.568681
0.000651,0.003048,4,0.495563,0.567952
0.000644,0.002323,2,0.456479,0.568371
0.000659,0.002898,3,0.50056,0.574466
0.000657,0.002341,3,0.50056,0.574466
0.000648,0.002315,3,0.50056,0.574466
0.000688,0.002274,3,0.496576,0.586089
0.000202,0.00129,4,0.500334,0.541301
