time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000352,0.001333,2,0.366453,1
5e-05,0.000139,2,0.366453,1
5.2e-05,0.000227,1,0.111769,0
5.1e-05,0.000235,2,0.366453,1
5e-05,0.000215,2,0.366453,1
5e-05,0.00015,2,0.366453,1
6.2e-05,0.0002,2,0.366453,1
5e-05,0.0002,2,0.366453,1
7.1e-05,0.000214,2,0.366453,1
5.2e-05,0.000214,2,0.366453,1
5.4e-05,0.00014,2,0.366453,1
5e-05,0.000228,2,0.366453,1
5.1e-05,0.000136,2,0.366453,1
5e-05,0.000153,2,0.366453,1
5.2e-05,0.000197,1,0.111769,0
5.1e-05,0.000243,2,0.366453,1
5.2e-05,0.000124,1,0.111769,0
5.2e-05,0.00024,2,0.366453,1
5.9e-05,0.000173,2,0.366453,1
5.6e-05,0.000131,1,0.111769,0
5.4e-05,0.000191,2,0.366453,1
5.3e-05,0.000131,2,0.366453,1
5.5e-05,0.00015,2,0.366453,1
5.4e-05,0.000146,2,0.366453,1
5.3e-05,0.000132,2,0.366453,1
0.000142,0.000426,2,0.366453,1
5.1e-05,0.000126,2,0.330703,0.836498
5.3e-05,0.000201,1,0.111769,0
5.2e-05,0.000164,2,0.366453,1
5.8e-05,0.000229,2,0.366453,1
5.8e-05,0.000152,2,0.366453,1
5.8e-05,0.00015,2,0.330703,0.836498
6e-05,0.000216,2,0.366453,1
5.7e-05,0.000216,2,0.366453,1
7.5e-05,0.000298,2,0.366453,1
5.4e-05,0.000142,2,0.366453,1
5.3e-05,0.000181,1,0.111769,0
5.1e-05,0.000126,1,0.111769,0
5.2e-05,0.000217,2,0.366453,1
6.6e-05,0.00018,2,0.366453,1
5.9e-05,0.000145,2,0.366453,1
6.1e-05,0.000126,1,0.111769,0
0.00014,0.00037,2,0.366453,1
5.1e-05,0.000179,2,0.366453,1
5e-05,0.000146,2,0.366453,1
5.3e-05,0.000138,2,0.366453,1
5.2e-05,0.000136,2,0.366453,1
5.3e-05,0.000192,1,0.111769,0
5.7e-05,0.000144,2,0.366453,1
5.3e-05,0.000144,2,0.366453,1
0.000357,0.00089,2,0.366453,1
0.000324,0.00127,1,0.111769,0
0.000318,0.000848,2,0.366453,1
0.000201,0.000504,2,0.330703,0.836498
0.00013,0.000474,2,0.366453,1
0.000107,0.000318,2,0.366453,1
8.4e-05,0.000372,2,0.366453,1
7.2e-05,0.000182,2,0.366453,1
6.1e-05,0.000229,2,0.366453,1
5.1e-05,0.000218,1,0.111769,0
6.5e-05,0.000146,1,0.111769,0
5.7e-05,0.000149,2,0.366453,1
5.2e-05,0.000216,1,0.111769,0
5.2e-05,0.00019,1,0.111769,0
5.2e-05,0.000202,1,0.111769,0
5.3e-05,0.000139,2,0.366453,1
5.2e-05,0.000248,2,0.366453,1
5.2e-05,0.000142,2,0.366453,1
5.1e-05,0.000205,1,0.111769,0
5.4e-05,0.000137,2,0.366453,1
5.6e-05,0.000247,2,0.366453,1
6.2e-05,0.000243,1,0.111769,0
7.3e-05,0.000279,1,0.111769,0
8.4e-05,0.000218,2,0.330703,0.836498
8.3e-05,0.000224,2,0.366453,1
7e-05,0.000201,2,0.366453,1
6.5e-05,0.000182,2,0.366453,1
6.1e-05,0.000146,1,0.111769,0
6.9e-05,0.000172,2,0.366453,1
