time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
6.3e-05,0.000476,2,0.384696,0.888836
6.4e-05,0.000401,2,0.384696,0.888836
6.2e-05,0.000345,3,0.462185,0.670559
6.4e-05,0.000478,2,0.384696,0.888836
6.3e-05,0.000449,5,0.487797,0.55705
9.9e-05,0.000568,2,0.384696,0.888836
6.1e-05,0.000364,2,0.384696,0.888836
6.4e-05,0.000416,2,0.384696,0.888836
6.5e-05,0.000474,2,0.384696,0.888836
6.7e-05,0.000389,2,0.384696,0.888836
6.3e-05,0.000325,3,0.366501,0.80688
6.5e-05,0.000318,2,0.384696,0.888836
0.0001,0.000523,2,0.384696,0.888836
6.3e-05,0.000479,2,0.384696,0.888836
6.6e-05,0.000363,3,0.384182,0.761904
6.4e-05,0.000462,3,0.469424,0.66221
6.4e-05,0.000365,3,0.359025,0.838719
6.3e-05,0.000426,3,0.366501,0.80688
7.3e-05,0.000404,3,0.359025,0.838719
6.3e-05,0.000474,3,0.462185,0.670559
6.6e-05,0.000476,3,0.462185,0.670559
6.2e-05,0.000477,2,0.384696,0.888836
9.8e-05,0.000446,2,0.384696,0.888836
6.3e-05,0.000323,3,0.366501,0.80688
6.5e-05,0.000317,3,0.359025,0.838719
6.5e-05,0.000356,2,0.384696,0.888836
6.5e-05,0.000367,3,0.462185,0.670559
6.9e-05,0.000387,3,0.432162,0.730381
6.7e-05,0.000357,2,0.384696,0.888836
6.2e-05,0.000362,3,0.384182,0.761904
6.5e-05,0.000347,3,0.432162,0.730381
6.3e-05,0.000423,2,0.384696,0.888836
6.4e-05,0.000315,3,0.359025,0.838719
6.5e-05,0.000373,2,0.384696,0.888836
6.6e-05,0.00039,2,0.384696,0.888836
6.8e-05,0.000385,2,0.384696,0.888836
7.3e-05,0.000416,2,0.384696,0.888836
6.8e-05,0.000398,2,0.384696,0.888836
6.8e-05,0.000503,5,0.477414,0.55435
6.7e-05,0.000339,2,0.384696,0.888836
6.8e-05,0.000399,2,0.384696,0.888836
7.9e-05,0.000336,2,0.384696,0.888836
7.6e-05,0.000323,2,0.384696,0.888836
6.5e-05,0.000422,3,0.359025,0.838719
6.9e-05,0.000367,2,0.384696,0.888836
6.9e-05,0.000351,2,0.384696,0.888836
0.000201,0.001043,2,0.384696,0.888836
7e-05,0.000493,2,0.384696,0.888836
6.8e-05,0.000379,2,0.384696,0.888836
6.9e-05,0.000488,2,0.384696,0.888836
6.9e-05,0.000523,3,0.462185,0.670559
6.9e-05,0.000411,3,0.384182,0.761904
6.7e-05,0.000337,2,0.384696,0.888836
6.8e-05,0.000446,2,0.384696,0.888836
6.5e-05,0.000333,2,0.384696,0.888836
6.6e-05,0.000373,3,0.359025,0.838719
7.8e-05,0.000357,3,0.359025,0.838719
0.000144,0.000449,2,0.384696,0.888836
6.8e-05,0.000319,2,0.384696,0.888836
7.6e-05,0.000407,3,0.366501,0.80688
7e-05,0.000404,3,0.384182,0.761904
6.5e-05,0.000386,2,0.384696,0.888836
6.4e-05,0.000412,2,0.384696,0.888836
6.8e-05,0.000574,3,0.462185,0.670559
6.8e-05,0.000326,2,0.384696,0.888836
7.1e-05,0.000419,3,0.462185,0.670559
6.6e-05,0.000369,3,0.469424,0.66221
0.000127,0.000643,2,0.384696,0.888836
