time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.000126,0.004736,10,0.598619,0.245712
0.000121,0.006284,10,0.598619,0.245712
0.000118,0.004687,10,0.598619,0.245712
0.000121,0.005129,10,0.571005,0.256429
0.000119,0.007108,9,0.574391,0.221986
0.000119,0.005445,10,0.603316,0.250191
0.00012,0.007186,10,0.599319,0.229936
0.00012,0.006399,10,0.598619,0.245712
0.000227,0.008282,10,0.599319,0.229936
0.000157,0.004771,10,0.575947,0.231611
0.000119,0.005025,10,0.542937,0.253056
0.000344,0.006576,8,0.555985,0.204709
0.00012,0.005741,11,0.57837,0.256591
0.000121,0.004712,12,0.580366,0.282604
0.000121,0.0049,12,0.580366,0.282604
0.000121,0.005375,9,0.591977,0.230915
0.000125,0.005542,8,0.567365,0.196558
0.000122,0.006292,11,0.604562,0.261727
0.000123,0.004945,10,0.598481,0.252503
0.000347,0.005777,10,0.582682,0.232471
0.000122,0.00693,9,0.57196,0.204278
0.00012,0.00716,11,0.582669,0.256891
0.000121,0.006936,9,0.591027,0.214682
0.000121,0.004543,10,0.572513,0.256285
0.000121,0.005098,9,0.604681,0.231031
0.000122,0.00669,10,0.596466,0.251562
0.00013,0.004855,11,0.604562,0.261727
0.000125,0.007036,10,0.602185,0.236846
0.000122,0.005933,9,0.593376,0.21282
0.000125,0.005905,9,0.552865,0.211958
0.000122,0.004845,10,0.601498,0.227161
0.000121,0.004965,9,0.568322,0.233803
0.000119,0.006135,8,0.588362,0.204695
0.00012,0.00489,8,0.584593,0.208604
0.000154,0.005006,9,0.576495,0.218289
0.00012,0.004785,10,0.595898,0.245299
0.00013,0.004674,11,0.578954,0.260742
0.000346,0.005646,8,0.584923,0.219962
0.000127,0.005815,9,0.565051,0.224997
0.000186,0.004894,10,0.605927,0.243344
0.000126,0.005448,10,0.576488,0.233299
0.000126,0.006125,10,0.597847,0.24512
0.000126,0.005401,8,0.598425,0.184322
0.000201,0.004731,11,0.57662,0.253169
0.000135,0.004684,10,0.603316,0.250191
0.00012,0.007736,11,0.576622,0.247535
0.000126,0.004866,10,0.545077,0.242525
0.000137,0.004817,10,0.605927,0.243344
0.000194,0.004532,11,0.600367,0.252694
0.000143,0.005828,8,0.581444,0.172207
0.000127,0.005742,11,0.604562,0.261727
0.000123,0.004962,10,0.588971,0.23087
0.000123,0.004551,9,0.585839,0.222015
0.000119,0.006352,9,0.600684,0.210393
0.000121,0.00451,10,0.572513,0.256285
0.000121,0.005056,10,0.605927,0.243344
0.000126,0.004764,11,0.604562,0.261727
0.000127,0.00639,11,0.57662,0.253169
