time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
3.39519e-313,0.002559,5,0.517701,0.393778
3.39519e-313,0.002696,5,0.513963,0.428218
3.39519e-313,0.002753,5,0.521716,0.341667
3.39519e-313,0.004118,5,0.504035,0.392702
3.39519e-313,0.002029,4,0.525711,0.468221
3.39519e-313,0.002649,5,0.522448,0.408419
3.39519e-313,0.003381,5,0.518235,0.385542
3.39519e-313,0.003003,5,0.527728,0.443066
3.39519e-313,0.002548,5,0.493493,0.362713
3.39519e-313,0.002552,5,0.517187,0.401686
3.39519e-313,0.002217,4,0.514715,0.433928
3.39519e-313,0.002296,4,0.519521,0.365508
3.39519e-313,0.002295,5,0.516949,0.428511
3.39519e-313,0.00275,4,0.516534,0.373233
3.39519e-313,0.002522,5,0.497468,0.400532
3.39519e-313,0.003501,5,0.506922,0.433296
3.39519e-313,0.002535,4,0.531387,0.443975
3.39519e-313,0.003244,4,0.491535,0.41368
3.39519e-313,0.00299,5,0.517879,0.456739
3.39519e-313,0.002532,4,0.523259,0.480182
3.39519e-313,0.002733,5,0.525355,0.457489
3.39519e-313,0.002823,5,0.49644,0.407529
3.39519e-313,0.002978,4,0.488509,0.373233
3.39519e-313,0.002396,5,0.521716,0.37737
3.39519e-313,0.002858,5,0.517187,0.399139
3.39519e-313,0.003199,5,0.507021,0.437468
3.39519e-313,0.002712,5,0.516712,0.410193
3.39519e-313,0.002924,4,0.52314,0.47308
3.39519e-313,0.0029,5,0.521024,0.389523
3.39519e-313,0.002638,5,0.522448,0.45613
3.39519e-313,0.004197,5,0.517187,0.401686
3.39519e-313,0.002509,4,0.528005,0.46957
3.39519e-313,0.002618,5,0.513785,0.415869
3.39519e-313,0.002862,4,0.516534,0.373233
3.39519e-313,0.002848,4,0.516534,0.425863
3.39519e-313,0.00224,4,0.518156,0.416655
3.39519e-313,0.003004,4,0.525988,0.47509
3.39519e-313,0.00229,4,0.512697,0.430127
3.39519e-313,0.004145,4,0.498972,0.407797
3.39519e-313,0.002187,4,0.510522,0.450404
3.39519e-313,0.002613,5,0.510364,0.348802
3.39519e-313,0.002832,5,0.524722,0.439782
3.39519e-313,0.00322,4,0.521419,0.476227
3.39519e-313,0.003283,5,0.489992,0.460587
3.39519e-313,0.002898,4,0.526107,0.406102
3.39519e-313,0.003208,4,0.494581,0.470229
3.39519e-313,0.002445,5,0.504114,0.384682
3.39519e-313,0.00255,5,0.521043,0.394135
3.39519e-313,0.002752,4,0.521597,0.429905
3.39519e-313,0.002243,4,0.531387,0.443975
3.39519e-313,0.003055,5,0.511352,0.410377
3.39519e-313,0.002663,5,0.513785,0.415869
3.39519e-313,0.003113,4,0.506566,0.461599
3.39519e-313,0.002585,6,0.500712,0.295231
3.39519e-313,0.000395,5,0.513429,0.393418
3.39519e-313,0.000418,5,0.506981,0.417233
3.39519e-313,0.000402,5,0.50619,0.414295
3.39519e-313,0.00038,4,0.523733,0.474722
3.39519e-313,0.000546,5,0.504232,0.410216
3.39519e-313,0.000385,4,0.504173,0.33242
3.39519e-313,0.00038,4,0.530913,0.475679
3.39519e-313,0.000391,4,0.508979,0.413878
