time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
0.00083,0.003202,9,0.602983,0.220369
0.000789,0.001988,11,0.603731,0.258074
0.000801,0.002698,10,0.599215,0.247594
0.000829,0.001856,11,0.602536,0.251115
0.000793,0.002328,11,0.604338,0.26943
0.000697,0.002564,11,0.604338,0.26943
0.000838,0.003668,13,0.582347,0.291816
0.000794,0.002809,10,0.579728,0.239612
0.000791,0.001912,10,0.604088,0.227257
0.00082,0.001993,10,0.601429,0.253717
0.000791,0.002374,12,0.602366,0.275914
0.000803,0.002442,11,0.604562,0.261727
0.000808,0.00185,12,0.559161,0.272872
0.000791,0.001988,12,0.584811,0.27724
0.000798,0.002526,12,0.584933,0.277677
0.000794,0.002577,10,0.605786,0.237569
0.000784,0.002381,9,0.601852,0.206938
0.000803,0.002359,10,0.604229,0.233025
0.000836,0.002538,11,0.586298,0.259886
0.000698,0.002883,10,0.600192,0.256472
0.000832,0.002612,12,0.556072,0.268335
0.00093,0.004497,12,0.580596,0.285142
0.000898,0.001644,9,0.548586,0.207012
0.000793,0.003469,10,0.602196,0.248556
0.000866,0.002821,10,0.602334,0.241743
0.000705,0.002859,10,0.573479,0.256831
0.000415,0.002037,10,0.604732,0.236194
0.000662,0.002629,10,0.59826,0.243037
0.000411,0.001623,11,0.597123,0.245082
0.000374,0.00156,10,0.603316,0.250191
0.000355,0.003038,11,0.582935,0.258481
0.000351,0.002179,11,0.604562,0.261727
0.000438,0.002251,10,0.600873,0.22601
0.000379,0.00505,9,0.599958,0.215821
0.000405,0.00151,10,0.603569,0.220768
0.000429,0.00251,10,0.57102,0.253514
0.000377,0.001518,11,0.604338,0.26943
0.000364,0.002214,12,0.583436,0.268548
0.0004,0.001673,12,0.583471,0.267683
0.000805,0.001937,12,0.602366,0.275914
0.000696,0.002232,11,0.602536,0.251115
0.000808,0.00258,10,0.579952,0.23173
0.000866,0.002122,10,0.604229,0.233025
0.000841,0.002068,12,0.584932,0.277678
