time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
6.6e-05,0.000319,6,0.433745,0.413875
7.2e-05,0.001302,6,0.443317,0.399659
8.5e-05,0.000921,5,0.396266,0.482086
6.1e-05,0.000374,6,0.379059,0.452989
0.00018,0.002348,6,0.448835,0.41009
6.3e-05,0.003628,5,0.452553,0.455159
6.4e-05,0.000263,8,0.423085,0.37156
6.6e-05,0.000245,6,0.447866,0.412617
7.2e-05,0.000337,7,0.422115,0.407921
0.000114,0.000727,6,0.384558,0.480678
6.5e-05,0.004124,8,0.423085,0.37156
0.000182,0.006742,6,0.436118,0.439184
6.5e-05,0.000767,6,0.442249,0.412617
6.5e-05,0.001834,7,0.441913,0.423484
6.6e-05,0.000914,6,0.380088,0.476113
0.000109,0.001121,7,0.434971,0.426352
6.4e-05,0.000916,7,0.428563,0.383974
6.4e-05,0.002123,7,0.424924,0.385474
6.6e-05,0.002175,6,0.430106,0.41553
6.5e-05,0.001972,6,0.432321,0.441131
6.4e-05,0.001017,6,0.452553,0.430561
6.5e-05,0.000348,5,0.390214,0.446661
6.6e-05,0.001537,7,0.436355,0.412448
6.7e-05,0.000556,5,0.390214,0.446661
6.8e-05,0.001213,6,0.44395,0.392863
6.9e-05,0.000826,6,0.428365,0.426876
6.5e-05,0.004049,7,0.425913,0.406185
6.6e-05,0.002121,7,0.438452,0.424701
6.5e-05,0.000562,7,0.432321,0.431168
6.5e-05,0.002989,7,0.437621,0.404161
6.9e-05,0.000709,6,0.44662,0.433032
6.4e-05,0.001726,7,0.424924,0.385474
6.9e-05,0.001516,6,0.446442,0.370445
7.4e-05,0.001889,7,0.443554,0.404161
6.9e-05,0.000925,7,0.434971,0.426352
6.9e-05,0.000393,7,0.424924,0.385474
7.1e-05,0.001541,6,0.442249,0.412617
6.5e-05,0.00182,5,0.384043,0.523859
6.5e-05,0.000604,7,0.434971,0.426352
6.8e-05,0.00024,5,0.394802,0.493619
6.6e-05,0.000265,5,0.380088,0.509974
6.8e-05,0.002024,7,0.422115,0.407921
6.6e-05,0.002763,7,0.434061,0.406977
0.000149,0.001099,7,0.422115,0.407921
7.1e-05,0.000365,6,0.454452,0.408481
9.1e-05,0.000286,5,0.437087,0.385672
7.2e-05,0.003804,7,0.444207,0.40176
7e-05,0.000602,6,0.43505,0.417265
7.1e-05,0.000368,7,0.427614,0.431168
0.000107,0.000935,7,0.441913,0.423484
6.9e-05,0.002921,7,0.438689,0.406977
6.7e-05,0.000415,5,0.442012,0.393943
6.6e-05,0.000414,6,0.40121,0.472751
7.6e-05,0.001193,6,0.436078,0.378391
7.7e-05,0.002523,6,0.447866,0.411018
7.5e-05,0.000825,7,0.434971,0.426352
7.6e-05,0.000473,7,0.425913,0.406185
7.5e-05,0.000739,6,0.396582,0.472751
6.5e-05,0.000718,6,0.427297,0.438506
6.7e-05,0.000755,7,0.425913,0.406185
6.6e-05,0.001548,7,0.373838,0.489172
0.000134,0.003168,6,0.436078,0.378391
6.7e-05,0.00076,6,0.449705,0.369514
7e-05,0.000367,6,0.449705,0.369514
0.000136,0.000586,6,0.371643,0.476113
