time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
5.9e-05,0.000135,3,0.402038,0.699488
5e-05,0.00013,2,0.132807,0.225967
5.4e-05,0.000161,3,0.374425,0.694858
7.9e-05,0.000363,2,0.371795,0.83717
5.1e-05,0.000128,2,0.359961,0.836498
5e-05,0.000135,3,0.385355,0.699374
5.2e-05,0.000126,2,0.359961,0.836498
5.9e-05,0.000208,3,0.402038,0.699488
5.2e-05,0.000158,2,0.371466,1
5e-05,0.000132,3,0.402038,0.699488
0.000339,0.000879,2,0.371466,1
5.1e-05,0.000134,3,0.358892,0.434726
5e-05,0.000152,2,0.359961,0.836498
5.1e-05,0.000154,2,0.371795,0.83717
4.8e-05,0.000152,2,0.354947,0.732902
5.6e-05,0.000132,3,0.374425,0.694858
0.000105,0.000351,2,0.371466,1
4.9e-05,0.000151,2,0.371795,0.83717
0.000128,0.000311,2,0.132807,0.225967
5e-05,0.000126,2,0.132807,0.225967
5.5e-05,0.000176,2,0.371466,1
5.2e-05,0.000183,2,0.359961,0.836498
5.1e-05,0.000108,2,0.359961,0.836498
5.2e-05,0.00013,2,0.359961,0.836498
5.1e-05,0.000133,2,0.359961,0.836498
5.2e-05,0.000104,2,0.359961,0.836498
5.4e-05,0.00013,3,0.39908,0.825518
5e-05,0.000129,3,0.402038,0.699488
5.6e-05,0.000206,2,0.359961,0.836498
5.5e-05,0.000127,2,0.352318,0.649927
5.7e-05,0.000151,2,0.371795,0.83717
5.6e-05,0.000126,2,0.132807,0.225967
5.5e-05,0.000103,2,0.371795,0.83717
5.3e-05,0.000133,3,0.402038,0.699488
5.2e-05,0.000173,2,0.371466,1
5.2e-05,0.000127,2,0.371795,0.83717
5.4e-05,0.000102,2,0.132807,0.225967
5.6e-05,0.000201,2,0.132807,0.225967
6.1e-05,0.000196,2,0.359961,0.836498
5.9e-05,0.000157,2,0.359961,0.836498
5.7e-05,0.00026,3,0.402038,0.699488
9.3e-05,0.000206,2,0.359961,0.836498
6e-05,0.00026,2,0.371466,1
5.7e-05,0.000127,2,0.371795,0.83717
0.000152,0.000582,2,0.371795,0.83717
6e-05,0.000163,3,0.402038,0.699488
5.4e-05,0.000138,2,0.359961,0.836498
4.9e-05,0.00013,1,0,0
6.3e-05,0.00014,3,0.402038,0.699488
6.7e-05,0.000107,3,0.39908,0.825518
6.3e-05,0.000207,2,0.371795,0.83717
6.2e-05,0.000142,3,0.402038,0.699488
6.5e-05,0.000132,2,0.359961,0.836498
5.4e-05,0.000125,2,0.132807,0.225967
5.2e-05,0.000133,3,0.402038,0.699488
0.000146,0.000284,2,0.371795,0.83717
5.2e-05,0.000204,3,0.374425,0.694858
6e-05,0.000131,2,0.371795,0.83717
5.5e-05,0.000203,2,0.371466,1
5.3e-05,0.000127,2,0.132807,0.225967
