time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
3.39519e-313,0.002532,9,0.598435,0.205758
3.39519e-313,0.002351,8,0.600277,0.19815
3.39519e-313,0.002434,9,0.595487,0.229174
3.39519e-313,0.003702,8,0.598976,0.164663
3.39519e-313,0.00315,10,0.604272,0.244787
3.39519e-313,0.003304,9,0.601028,0.221713
3.39519e-313,0.003749,9,0.60086,0.201932
3.39519e-313,0.003172,8,0.592754,0.20241
3.39519e-313,0.002613,9,0.605541,0.213015
3.39519e-313,0.006042,9,0.598577,0.211614
3.39519e-313,0.002271,9,0.603436,0.238609
3.39519e-313,0.002873,8,0.5962,0.209412
3.39519e-313,0.002358,10,0.605786,0.237569
3.39519e-313,0.002525,8,0.592839,0.206763
3.39519e-313,0.0024,9,0.597211,0.219509
3.39519e-313,0.002882,9,0.604109,0.206513
3.39519e-313,0.002179,8,0.598249,0.172632
3.39519e-313,0.004384,9,0.600684,0.210393
3.39519e-313,0.002317,7,0.576833,0.174474
3.39519e-313,0.002685,9,0.604261,0.205453
3.39519e-313,0.002545,8,0.598577,0.191208
3.39519e-313,0.002573,10,0.598908,0.232832
3.39519e-313,0.002538,8,0.595239,0.173149
3.39519e-313,0.005232,9,0.605764,0.20495
3.39519e-313,0.002547,10,0.595233,0.250824
3.39519e-313,0.002406,9,0.605541,0.213015
3.39519e-313,0.002989,9,0.5981,0.21607
3.39519e-313,0.002298,10,0.594615,0.246994
3.39519e-313,0.002414,10,0.605786,0.237569
3.39519e-313,0.002497,7,0.56682,0.181788
3.39519e-313,0.002569,9,0.589544,0.220716
3.39519e-313,0.002342,7,0.582681,0.190899
3.39519e-313,0.003294,9,0.590932,0.236064
3.39519e-313,0.005403,8,0.591298,0.208292
3.39519e-313,0.00273,8,0.603274,0.198797
3.39519e-313,0.002554,10,0.605927,0.243344
3.39519e-313,0.00263,9,0.599221,0.215733
3.39519e-313,0.002754,9,0.603183,0.243438
3.39519e-313,0.002991,10,0.605703,0.251177
3.39519e-313,0.002398,9,0.593269,0.193659
3.39519e-313,0.002646,8,0.587626,0.2095
3.39519e-313,0.003208,9,0.599386,0.221183
3.39519e-313,0.003592,9,0.597718,0.22969
3.39519e-313,0.002352,9,0.605541,0.213015
3.39519e-313,0.002591,9,0.595979,0.210843
3.39519e-313,0.002899,9,0.60115,0.243082
3.39519e-313,0.002321,9,0.6016,0.227514
3.39519e-313,0.002685,9,0.603313,0.192696
3.39519e-313,0.003033,9,0.597701,0.2
3.39519e-313,0.0033,10,0.605703,0.251177
3.39519e-313,0.002791,9,0.604109,0.206513
3.39519e-313,0.002001,9,0.598992,0.228391
3.39519e-313,0.00147,10,0.600723,0.232765
3.39519e-313,0.001235,9,0.605541,0.213015
3.39519e-313,0.001072,9,0.604761,0.204634
3.39519e-313,0.001098,10,0.605927,0.243344
3.39519e-313,0.003404,9,0.599979,0.220234
3.39519e-313,0.001303,9,0.601582,0.213076
3.39519e-313,0.00118,7,0.590546,0.187891
3.39519e-313,0.002905,9,0.604681,0.231031
3.39519e-313,0.001032,8,0.601698,0.190737
3.39519e-313,0.001284,9,0.596418,0.236536
3.39519e-313,0.001213,8,0.599846,0.213463
3.39519e-313,0.00108,8,0.598425,0.184322
3.39519e-313,0.00105,10,0.605703,0.251177
3.39519e-313,0.001047,10,0.598686,0.24922
3.39519e-313,0.001185,9,0.605623,0.199067
3.39519e-313,0.001043,9,0.602856,0.215779
3.39519e-313,0.00102,10,0.604923,0.243003
3.39519e-313,0.001409,9,0.605541,0.213015
3.39519e-313,0.001213,8,0.589695,0.210882
3.39519e-313,0.001016,9,0.594549,0.21737
3.39519e-313,0.001084,8,0.598385,0.173242
3.39519e-313,0.001061,9,0.601419,0.20942
3.39519e-313,0.001051,9,0.605764,0.20495
3.39519e-313,0.001205,8,0.604519,0.191023
3.39519e-313,0.001065,10,0.605703,0.251177
3.39519e-313,0.001188,10,0.604923,0.243003
3.39519e-313,0.001065,9,0.604109,0.206513
3.39519e-313,0.001053,9,0.605541,0.213015
3.39519e-313,0.001083,10,0.604271,0.244787
3.39519e-313,0.001023,9,0.573362,0.232133
3.39519e-313,0.001231,7,0.586207,0.186074
3.39519e-313,0.00166,8,0.589559,0.180868
3.39519e-313,0.001193,9,0.604761,0.204634
3.39519e-313,0.001315,10,0.605703,0.251177
3.39519e-313,0.001035,9,0.599648,0.209573
3.39519e-313,0.001056,10,0.595827,0.244227
3.39519e-313,0.001059,10,0.595827,0.244227
3.39519e-313,0.001133,8,0.597328,0.179401
3.39519e-313,0.001073,10,0.597906,0.241015
3.39519e-313,0.001201,8,0.597422,0.178035
3.39519e-313,0.001065,8,0.597187,0.173364
3.39519e-313,0.001022,8,0.593552,0.180817
3.39519e-313,0.001086,9,0.604109,0.206513
